nombre,codigo,categoria,imagenes_urls
Plancha para Cabello Remington S8001P,S8001P,Remington,https://img.pacifiko.com/PROD/resize/0/1000x1000/alisador1.jpg|https://img.pacifiko.com/PROD/resize/0/1000x1000/alisadorr.jpg|https://img.pacifiko.com/PROD/resize/0/1000x1000/alisador-para-pelo-humedo-Remington-S8001P-110-F47-09-11-2018%2010-21-15%20a.%20m..png|https://img.pacifiko.com/PROD/resize/0/1000x1000/alisador-para-pelo-humedo-Remington-S8001P-110-F47-09-11-2018%2010-36-26%20a.%20m..png|https://img.pacifiko.com/PROD/resize/0/1000x1000/alisador.jpg
"Combo Megapack Remington Secadora, Rizador y Plancha S5520-D 3015MLF",S5520,Remington,https://img.pacifiko.com/PROD/resize/1/1000x1000/YTkwZDcxMG_645.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/YTkwZDcxMG_0_876.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/YTkwZDcxMG_1_431.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/YTkwZDcxMG_2_791.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/YTkwZDcxMG_3_356.png
REMIN S1A100WM-F,S1A100WM-F,Remington,
Rizador Para Cabello Remington,CI5225CL,Remington,"https://img.pacifiko.com/PROD/resize/0/1000x1000/61jCI5225CL-Rizador-Remington-2-en-1-de-Titanio-01.jpg|https://img.pacifiko.com/PROD/resize/0/1000x1000/61jCI5225CL-Rizador-Remington-2-en-1-de-Titanio-03-596x596.jpg|https://img.pacifiko.com/PROD/resize/0/1000x1000/61jO6CxtsNL._SL1000_.jpg|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
REMIN D3016GP-110F,D3016GP-110F,Remington,
Cortadora Personal Remington Todo En 1,D5000,Remington,https://img.pacifiko.com/PROD/resize/1/1000x1000/NmU3NmE4Zj.jfif|https://img.pacifiko.com/PROD/resize/1/1000x1000/NmU3NmE4Zj_0_910.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/NmU3NmE4Zj_1_472.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/NmU3NmE4Zj_2_245.jpg|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png
"Combo Megapack Remington Secadora, Rizador y Plancha S5520-D 3015MLF",D3015,Remington,https://img.pacifiko.com/PROD/resize/1/1000x1000/YTkwZDcxMG_645.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/YTkwZDcxMG_0_876.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/YTkwZDcxMG_1_431.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/YTkwZDcxMG_2_791.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/YTkwZDcxMG_3_356.png
"Remington PG6250, PG6255 Cabezal de corte principal de repuesto de 32 mm",PG181,Remington,"https://img.pacifiko.com/PROD/resize/1/1000x1000/ZjdiZDM3MD_1.jpg|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://img.pacifiko.com/PROD/resize/1/250x250/ZjdiZDM3MD_1.jpg"
Plancha para Cabello Remington S16A,S31A,Remington,https://img.pacifiko.com/PROD/resize/0/1000x1000/121titulo%205.jpg|https://img.pacifiko.com/PROD/resize/0/1000x1000/123.jpg|https://img.pacifiko.com/PROD/resize/0/1000x1000/122.jpg|https://img.pacifiko.com/PROD/resize/0/1000x1000/1212.jpg|https://img.pacifiko.com/PROD/resize/0/1000x1000/12.jpg
"Cargador De Pared Samsung 25W USB-C, Sin Cable, Color Negro",D26A,Remington,"https://img.pacifiko.com/PROD/resize/1/1000x1000/YmNiOTI0NW_765.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/YmNiOTI0NW_1_36.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/YmNiOTI0NW_4.jpg|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Cepillos Eléctricos Para cabello,AS5805-110F,Remington,"https://cdn.pacifiko.com/image/catalog/logo/Logo%20Pacifiko%20isotipo-01.png|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://img.pacifiko.com/PROD/resize/1/250x250/MDMyMzg5OW_1740428888.png"
REMIN S4A500-D3019-F,S4A500-D3019-F,Remington,
Cuchilla para Licuadora BLACK AND DECKER Cyclone™,BL1670S,Black+Decker,"https://img.pacifiko.com/PROD/resize/1/1000x1000/_1764125697.jpg|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://img.pacifiko.com/PROD/resize/1/250x250/_1764125697.jpg"
Electrodomésticos,CM618,Black+Decker,"https://cdn.pacifiko.com/image/catalog/logo/Logo%20Pacifiko%20isotipo-01.png|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://cdn.pacifiko.com/image/catalog/ORG-ELECTROD-BLACK.png"
BLACK AND DECKER,PAN24535,Black+Decker,"https://cdn.pacifiko.com/image/catalog/logo/Logo%20Pacifiko%20isotipo-01.png|https://cdn.pacifiko.com/image/Pacifiko-small-logo2023.png|data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==|https://www.facebook.com/tr?id=2484670788437381&ev=PageView&noscript=1|https://img.pacifiko.com/PROD/resize/2/250x250/NGE0ZTBiYj.jpg"
BD MX9125-2BDLA,MX9125-2BDLA,Black+Decker,
BD FP4342-0BDLA,FP4342-0BDLA,Black+Decker,
Plancha | TrueGlide | BLACK DECKER | IRBD350,IRBD350,Black+Decker,https://img.pacifiko.com/PROD/resize/1/1000x1000/NDI2MDYyNj_1770765527.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/NDI2MDYyNj_1770765536.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/NDI2MDYyNj_1770765544.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/NDI2MDYyNj_1770765553.png|https://img.pacifiko.com/PROD/resize/1/1000x1000/NDI2MDYyNj_1770765577.png
"BLACK+DECKER 20V MAX Matrix Quick Connect System, Cordless Lithium Power Drill and Driver, Battery Included (BDCDMT120C) - Nombre de estilo Drill Kit (Orange)",AFBD82,Black+Decker,https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_1.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_2.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_3.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_4.jpg
"BLACK+DECKER 20V MAX Matrix Quick Connect System, Cordless Lithium Power Drill and Driver, Battery Included (BDCDMT120C) - Nombre de estilo Drill Kit (Orange)",BL1600BGLA,Black+Decker,https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_1.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_2.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_3.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_4.jpg
"BLACK+DECKER 20V MAX Matrix Quick Connect System, Cordless Lithium Power Drill and Driver, Battery Included (BDCDMT120C) - Nombre de estilo Drill Kit (Orange)",BL1600BGLA,Black+Decker,https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_1.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_2.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_3.jpg|https://img.pacifiko.com/PROD/resize/1/1000x1000/B00OJ72LHU_4.jpg
